SID,Trial,RT,Duration
20130716T160231,Go,0.63881,0.66661
20130716T160231,Go,1.1388,1.4665
20130716T160231,Go,0.28365,0.29997
20130716T160231,Go,0.5069,0.51661
20130716T160231,Go,0.60563,0.61662
20130716T160231,Go,0.53773,0.54995
20130716T160231,Stop,,2.2165
20130716T160231,Go,0.80217,0.81658
20130716T160231,Go,0.79214,0.80001
20130716T160231,Go,0.44645,0.44996
20130716T160231,Go,0.51651,0.53328
20130716T160231,Go,0.47798,0.48329
20130716T160231,Go,0.52357,0.53329
20130716T160231,Stop,,2.2831
20130716T160231,Go,0.49599,0.49995
20130716T160231,Stop,0.44852,0.46663
20130716T160231,Go,1.1468,1.1499
20130716T160231,Go,1.135,1.1499
20130716T160231,Stop,,2.2831
20130716T160231,Go,0.69146,0.69993
20130716T160231,Stop,,2.3498
20130716T160231,Go,0.77053,0.78327
20130716T160231,Go,0.98129,0.98322
20130716T160231,Go,0.77342,0.78324
20130716T160231,Go,0.5796,0.58328
20130716T160231,Go,0.53848,0.54995
20130716T160231,Go,0.6405,0.64995
20130716T160231,Go,0.6101,0.61668
20130716T160231,Stop,,2.4164
20130716T160231,Go,0.61592,0.63327
20130716T160231,Go,0.64391,0.64994
20130716T160231,Go,0.53885,0.54995
20130716T160231,Go,0.71824,0.73329
20130716T160231,Go,0.62126,0.63327
20130716T160231,Go,0.6906,0.69994
20130716T160231,Go,0.70151,0.71664
20130716T160231,Go,0.82099,0.83325
20130716T160231,Go,0.73504,0.74992
20130716T160231,Go,0.60812,0.61655
20130716T160231,Go,0.89812,0.89992
20130716T160231,Go,0.91775,0.93327
20130716T160231,Stop,,2.4831
20130716T160231,Go,0.88743,0.89991
20130716T160231,Go,0.88308,0.89992
20130716T160231,Go,0.89006,0.89992
20130716T160231,Go,1.0682,1.0832
20130716T160231,Go,0.78956,0.79992
20130716T160231,Go,0.86531,0.86657
20130716T160231,Go,0.8815,0.88325
20130716T160231,Go,1.1945,1.1999
20130716T160231,Go,0.99587,0.99991
20130716T160231,Go,1.8786,1.8832
20130716T160231,Go,0.7529,0.76659
20130716T160231,Stop,,2.4831
20130716T160231,Go,0.54347,0.54989
20130716T160231,Go,0.33727,0.34997
20130716T160231,Stop,,2.4831
20130716T160231,Go,0.58336,0.59994
20130716T160231,Go,0.6871,0.69994
20130716T160231,Stop,0.57175,0.58329
20130716T160231,Go,0.82473,0.83325
20130716T160231,Go,0.70293,0.71659
20130716T160231,Go,0.59956,0.61659
20130716T160231,Go,0.41932,0.43329
20130716T160231,Go,0.96685,0.98325
20130716T160231,Stop,,2.4164
20130716T160231,Go,0.58838,0.59994
20130716T160231,Stop,,2.483
20130716T160231,Go,0.78147,0.78325
20130716T160231,Go,0.9749,0.98324
20130716T160231,Go,0.77256,0.78327
20130716T160231,Go,0.6802,0.6833
20130716T160231,Go,0.5736,0.58328
20130716T160231,Go,0.58444,0.59995
20130716T160231,Stop,0.4992,0.51663
20130716T160231,Go,0.58753,0.59996
20130716T160231,Stop,0.45235,0.46663
20130716T160231,Go,0.61846,0.63328
20130716T160231,Go,0.774,0.78325
20130716T160231,Go,0.38146,0.38331
20130716T160231,Go,0.28225,0.28335
20130716T160231,Go,0.22185,0.2333
20130716T160231,Go,0.30527,0.31668
20130716T160231,Go,0.25133,0.26664
20130716T160231,Go,0.25817,0.2667
20130716T160231,Go,0.19957,0.21668
20130716T160231,Go,0.19445,0.19999
20130716T160231,Go,0.038167,0.050049
20130716T160231,Stop,0.19073,0.19998
20130716T160231,Stop,,2.4164
20130716T160231,Stop,,2.483
20130716T160231,Go,0.45757,0.46666
20130716T160231,Go,0.58302,0.59995
20130716T160231,Go,0.57566,0.58326
20130716T160231,Go,0.64193,0.64995
20130716T160231,Stop,,2.4831
20130716T160231,Go,0.52854,0.53336
20130716T160231,Stop,,2.4831
20130716T160231,Go,0.73035,0.73319
20130716T160231,Stop,,2.4831